iter	Passed	Remaining
0	95	95099
1	180	90126
2	270	89776
3	377	94065
4	479	95347
5	589	97618
6	707	100309
7	795	98639
8	916	100885
9	1015	100534
10	1118	100599
11	1208	99509
12	1314	99835
13	1410	99373
14	1523	100032
15	1608	98916
16	1715	99218
17	1809	98711
18	1926	99470
19	2012	98616
20	2123	98990
21	2215	98480
22	2327	98847
23	2410	98035
24	2516	98144
25	2609	97748
26	2720	98032
27	2803	97329
28	2922	97869
29	3020	97650
30	3129	97826
31	3213	97216
32	3326	97482
33	3421	97208
34	3536	97501
35	3633	97292
36	3745	97477
37	3836	97111
38	3956	97497
39	4042	97027
40	4157	97255
41	4251	96981
42	4363	97115
43	4465	97014
44	4578	97168
45	4668	96828
46	4778	96890
47	4871	96617
48	4980	96671
49	5076	96458
50	5152	95881
51	5245	95630
52	5353	95654
53	5453	95538
54	5540	95200
55	5645	95174
56	5734	94875
57	5847	94970
58	5897	94055
59	5999	93998
60	6107	94012
61	6198	93772
62	6319	93985
63	6406	93697
64	6517	93750
65	6616	93638
66	6727	93679
67	6820	93476
68	6938	93624
69	7040	93539
70	7153	93602
71	7254	93499
72	7372	93618
73	7453	93274
74	7565	93303
75	7655	93072
76	7769	93134
77	7870	93038
78	7984	93084
79	8093	93072
80	8176	92763
81	8273	92619
82	8399	92802
83	8508	92787
84	8593	92504
85	8715	92625
86	8825	92616
87	8934	92597
88	9027	92405
89	9164	92660
90	9267	92574
91	9367	92454
92	9457	92236
93	9590	92435
94	9696	92369
95	9800	92291
96	9890	92072
97	10005	92091
98	10117	92075
99	10225	92033
100	10321	91868
101	10436	91883
102	10541	91800
103	10649	91746
104	10747	91609
105	10856	91562
106	10962	91487
107	11090	91601
108	11183	91418
109	11296	91396
110	11400	91307
111	11518	91329
112	11612	91153
113	11732	91182
114	11833	91062
115	11945	91035
116	12049	90939
117	12175	91007
118	12284	90943
119	12401	90946
120	12517	90936
121	12615	90791
122	12705	90587
123	12816	90544
124	12925	90477
125	13041	90460
126	13150	90398
127	13274	90430
128	13488	91072
129	13679	91549
130	13938	92460
131	14081	92596
132	14203	92588
133	14324	92575
134	14430	92459
135	14540	92376
136	14653	92306
137	14784	92348
138	14913	92376
139	15046	92429
140	15156	92338
141	15271	92276
142	15377	92159
143	15489	92075
144	15605	92019
